Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Rolling Mean,Bollinger High,Bollinger Low,Bollinger Middle
TATAPOWER,EQ,2017-07-11,83.45,84.0,84.2,82.75,83.0,83.0,83.12,4536568,377084193.8,15122,3259739,71.85,81.73571428571428,83.45368651233159,80.01774205909697,81.73571428571428
TATAPOWER,EQ,2017-07-12,83.0,83.7,84.0,82.75,83.05,83.05,83.05,3279731,272380886.15,17982,2503801,76.34,81.82857142857142,83.68483495666061,79.97230790048224,81.82857142857142
TATAPOWER,EQ,2017-07-13,83.05,83.6,83.9,82.9,83.2,83.25,83.29,1882220,156762765.05,9919,1035271,55.0,81.86428571428571,83.81381369322297,79.91475773534846,81.86428571428571
TATAPOWER,EQ,2017-07-14,83.25,83.35,83.6,82.75,82.85,82.95,83.02,4106073,340896253.85,6757,3435624,83.67,81.96785714285714,83.9868466627206,79.94886762299369,81.96785714285714
TATAPOWER,EQ,2017-07-17,82.95,83.0,84.1,83.0,83.4,83.4,83.58,5230073,437130467.85,12665,2808753,53.7,82.13214285714287,84.22005942740982,80.04422628687591,82.13214285714287
TATAPOWER,EQ,2017-07-18,83.4,83.3,83.9,81.9,82.2,82.45,82.81,3271847,270940819.2,11713,1720494,52.58,82.18928571428572,84.26410862477466,80.11446280379677,82.18928571428572
TATAPOWER,EQ,2017-07-19,82.45,82.4,83.25,81.9,83.0,82.95,82.42,3930557,323940017.7,19358,2188340,55.68,82.28928571428573,84.36633190518292,80.21223952338853,82.28928571428573
TATAPOWER,EQ,2017-07-20,82.95,82.95,83.5,82.3,83.0,82.9,83.05,1375720,114251304.7,5453,694507,50.48,82.45714285714288,84.2947236844,80.61956202988577,82.45714285714288
TATAPOWER,EQ,2017-07-21,82.9,83.2,83.6,82.5,83.3,83.35,83.13,2135714,177552492.75,11381,1034685,48.45,82.66785714285716,84.12683842225246,81.20887586346186,82.66785714285716
TATAPOWER,EQ,2017-07-24,83.35,83.35,83.5,82.9,83.0,83.25,83.22,2111317,175713522.95,7274,1060860,50.25,82.81428571428572,84.02984419399041,81.59872723458102,82.81428571428572
TATAPOWER,EQ,2017-07-25,83.25,83.25,83.4,82.65,82.95,83.0,82.98,7554662,626866842.2,26896,6650244,88.03,82.90357142857144,83.95491802714358,81.8522248299993,82.90357142857144
TATAPOWER,EQ,2017-07-26,83.0,83.0,83.45,81.9,82.5,82.55,82.92,9530863,790319179.5,14157,7614411,79.89,82.94642857142857,83.87168469872438,82.02117244413276,82.94642857142857
TATAPOWER,EQ,2017-07-27,82.55,83.0,83.15,81.85,82.1,82.0,82.2,2646710,217549470.35,13825,1734357,65.53,82.96785714285714,83.77513856634143,82.16057571937286,82.96785714285714
TATAPOWER,EQ,2017-07-28,82.0,82.1,82.9,81.1,82.55,82.15,81.88,1689815,138370490.55,7757,747822,44.25,82.875,83.74035897397884,82.00964102602116,82.875
TATAPOWER,EQ,2017-07-31,82.15,81.9,82.7,81.1,82.0,82.0,81.86,2681618,219530572.85,12710,1474783,55.0,82.80357142857143,83.782160904622,81.82498195252086,82.80357142857143
TATAPOWER,EQ,2017-08-01,82.0,81.2,83.25,81.2,83.25,82.8,82.33,2365558,194756670.5,8956,1215801,51.4,82.78571428571429,83.75400268158714,81.81742588984145,82.78571428571429
TATAPOWER,EQ,2017-08-02,82.8,82.8,82.95,82.1,82.3,82.6,82.56,867025,71578832.05,5089,304685,35.14,82.73928571428571,83.67340691497758,81.80516451359385,82.73928571428571
TATAPOWER,EQ,2017-08-03,82.6,82.5,83.4,82.2,82.45,82.65,82.83,2966583,245722298.6,9273,1517249,51.14,82.71785714285714,83.64489306686181,81.79082121885247,82.71785714285714
TATAPOWER,EQ,2017-08-04,82.65,82.55,82.75,79.7,80.2,80.25,80.75,5298112,427822909.45,11693,2763158,52.15,82.49285714285713,84.0330155477258,80.95269873798847,82.49285714285713
TATAPOWER,EQ,2017-08-07,80.25,80.7,80.9,79.85,80.0,80.0,80.13,3124773,250381011.8,12752,2100299,67.21,82.31785714285714,84.35543003644966,80.28028424926461,82.31785714285714
TATAPOWER,EQ,2017-08-08,80.0,80.2,80.4,78.05,78.15,78.25,78.93,1840878,145292253.1,9155,795372,43.21,81.98214285714285,84.92064251169107,79.04364320259462,81.98214285714285
TATAPOWER,EQ,2017-08-09,78.25,78.3,78.3,77.15,77.95,77.8,77.77,2107243,163889597.15,11253,1255251,59.57,81.61785714285712,85.24904833178526,77.98666595392898,81.61785714285712
TATAPOWER,EQ,2017-08-10,77.8,77.0,77.8,75.8,77.0,76.7,76.98,10816439,832607919.7,20875,7433869,68.73,81.14285714285712,85.47091535781773,76.81479892789652,81.14285714285712
TATAPOWER,EQ,2017-08-11,76.7,76.45,77.1,75.85,76.7,76.55,76.42,4403984,336565734.8,12500,3212725,72.95,80.6642857142857,85.4465331054074,75.882038323164,80.6642857142857
TATAPOWER,EQ,2017-08-14,76.55,77.0,81.15,76.6,79.65,79.55,79.36,8120241,644444861.75,31099,1663389,20.48,80.41785714285712,85.0343171824008,75.80139710331343,80.41785714285712
TATAPOWER,EQ,2017-08-16,79.55,81.25,83.45,81.1,82.0,82.05,82.55,11428360,943378547.25,40270,2500956,21.88,80.38214285714284,84.93484402371288,75.82944169057279,80.38214285714284
TATAPOWER,EQ,2017-08-17,82.05,82.6,82.6,81.35,81.8,81.65,81.81,3774599,308782129.2,30140,1689492,44.76,80.35714285714285,84.87528698649804,75.83899872778765,80.35714285714285
TATAPOWER,EQ,2017-08-18,81.65,80.4,81.4,80.05,80.4,80.3,80.47,2900287,233378090.45,12871,942288,32.49,80.22499999999998,84.6239072069532,75.82609279304675,80.22499999999998
TATAPOWER,EQ,2017-08-21,80.3,80.65,80.85,80.0,80.3,80.2,80.32,2749000,220801815.4,13694,1219079,44.35,80.09642857142855,84.37544073020369,75.8174164126534,80.09642857142855
TATAPOWER,EQ,2017-08-22,80.2,81.0,81.5,79.65,80.1,80.05,80.34,2316424,186096302.45,9396,972308,41.97,79.89999999999998,83.88690163101435,75.9130983689856,79.89999999999998
TATAPOWER,EQ,2017-08-23,80.05,80.35,80.35,78.6,78.7,78.75,79.09,2065914,163389944.7,9450,558547,27.04,79.62499999999999,83.33086852687221,75.91913147312776,79.62499999999999
TATAPOWER,EQ,2017-08-24,78.75,79.7,80.8,78.8,79.05,79.15,79.66,7107291,566201246.95,28623,1616683,22.75,79.37499999999999,82.64884741902819,76.10115258097179,79.37499999999999
TATAPOWER,EQ,2017-08-28,79.15,79.3,79.7,78.45,79.0,78.85,78.96,2117665,167214622.3,11915,1030307,48.65,79.27499999999998,82.51910708350253,76.03089291649742,79.27499999999998
TATAPOWER,EQ,2017-08-29,78.85,78.35,78.4,76.75,77.0,76.95,77.49,4659510,361084772.3,22337,2090292,44.86,79.05714285714284,82.4953573183595,75.61892839592618,79.05714285714284
TATAPOWER,EQ,2017-08-30,76.95,77.5,78.0,77.05,77.8,77.65,77.6,2203355,170981387.1,8640,782782,35.53,79.0142857142857,82.51031171564762,75.5182597129238,79.0142857142857
TATAPOWER,EQ,2017-08-31,77.65,77.7,79.75,77.55,79.25,79.25,78.61,5439368,427610860.6,16601,2445094,44.95,79.11785714285713,82.5441372838258,75.69157700188846,79.11785714285713
TATAPOWER,EQ,2017-09-01,79.25,79.25,80.75,78.85,79.9,80.1,80.05,7004328,560721294.95,20469,2102415,30.02,79.36071428571427,82.5203585138438,76.20107005758473,79.36071428571427
TATAPOWER,EQ,2017-09-04,80.1,79.85,80.15,78.0,78.5,78.45,78.82,1847590,145635180.25,10821,390030,21.11,79.49642857142855,82.2764297572929,76.7164273855642,79.49642857142855
TATAPOWER,EQ,2017-09-05,78.45,79.0,79.0,78.0,78.3,78.35,78.47,1500822,117769142.2,6940,432675,28.83,79.41071428571426,82.25681244376773,76.5646161276608,79.41071428571426
TATAPOWER,EQ,2017-09-06,78.35,78.3,78.65,77.85,78.05,78.0,78.17,4084036,319247292.6,11220,2898805,70.98,79.12142857142855,81.61317318289898,76.62968395995813,79.12142857142855
TATAPOWER,EQ,2017-09-07,78.0,78.15,78.4,77.15,77.4,77.35,77.54,2557393,198292903.75,16500,1461169,57.14,78.81428571428569,81.00532641236961,76.62324501620176,78.81428571428569
